Table名稱,市場,面向,類別,樣本
新聞強度評分表,台灣,消息面,"公告事件, 新聞",上市櫃股票
資本形成表,台灣,基本面,"公告事件, 股本變動",上市櫃股票
港股日收盤表排行,香港,籌碼面,"交易, 價量",上市櫃股票
可轉公司債轉換價格變動,台灣,籌碼面,交易,債券
季盈餘機構預估(單季),台灣,基本面,"財報, 機構評等",上市櫃股票
季IFRS財報總表(金融),台灣,基本面,"財報, 金融, 總表",金融業股票
季IFRS財報總表(證券),台灣,基本面,"財報, 證券, 總表",金融業股票
港股日收盤還原表排行,香港,籌碼面,"交易, 價量",上市櫃股票
投信公司基本資料表,台灣,基本面,基本資料,投信基金
期交所商品最後結算價,台灣,籌碼面,交易,期貨
日期貨三大法人盤後交易行情表,台灣,籌碼面,三大法人,期貨
日盤中零股交易行情,台灣,籌碼面,"交易, 零股",上市櫃股票
港股上市公司基本資料,香港,基本面,基本資料,上市櫃股票
債券發行基本資料表,台灣,基本面,基本資料,債券
重要國際指數(技術指標),國際,技術面,交易,指數
陸股日收盤表排行,中國,籌碼面,"交易, 價量",上市櫃股票
興櫃年IFRS財報(總表),台灣,基本面,"財報, 總表",興櫃股票
月集保戶股權分散表,台灣,籌碼面,股權結構,上市櫃股票
公開發行基本資料,台灣,基本面,基本資料,公開發行股票
日鉅額交易明細,台灣,籌碼面,"交易, 鉅額",上市櫃股票
季IFRS財報總表(保險),台灣,基本面,"財報, 保險, 總表",金融業股票
日自營商速選,台灣,籌碼面,"三大法人, 自營商",上市櫃股票
日分價量表統計,台灣,籌碼面,"交易, 價量",上市櫃股票
月機構預估盈餘與EPS(外資),台灣,基本面,"財報, 機構評等",上市櫃股票
選擇權商品基本資料,台灣,基本面,基本資料,選擇權
CMCR信用評等,台灣,基本面,機構評等,信評
日選擇權盤後行情表,台灣,籌碼面,"交易, 價量",選擇權
資本形成表(交易所公告),台灣,基本面,"公告事件, 股本變動",上市櫃股票
年IFRS財報速選,台灣,基本面,財報,上市櫃股票
興櫃月營收比較表,台灣,基本面,"財報, 營收",興櫃股票
季IFRS財報總表(金融)–財務比率,台灣,基本面,"財報, 金融, 財務比率",金融業股票
申報轉讓明細,台灣,基本面,"股權結構, 轉讓",上市櫃股票
投信公司持股明細,台灣,籌碼面,"交易, 持股",投信基金
日盤下放空標的,台灣,籌碼面,交易,上市櫃股票
月集保戶股權分散統計表,台灣,籌碼面,股權結構,上市櫃股票
陸股日收盤還原表排行,中國,籌碼面,"交易, 價量",上市櫃股票
週收盤還原表排行,台灣,籌碼面,"交易, 價量",上市櫃股票
券商進出個股明細,台灣,籌碼面,券商,上市櫃股票
公開發行季IFRS財報(總表),台灣,基本面,"財報, 總表",公開發行股票
興櫃個股券商分點進出明細,台灣,籌碼面,券商,興櫃股票
美股ETF淨值表,美國,籌碼面,交易,ETF
年IFRS財報總表(證券),台灣,基本面,"財報, 證券, 總表",金融業股票
年IFRS財報總表(金融),台灣,基本面,"財報, 金融, 總表",金融業股票
券商分點標的權證金額統計,台灣,籌碼面,券商,權證
公司治理評鑑排名,台灣,基本面,"機構評等, 公司治理",上市櫃股票
期信基金基本資料表,台灣,基本面,基本資料,期信基金
季轉投資(金融資產),台灣,基本面,"財報, 轉投資",上市櫃股票
美股ETF持股明細,美國,籌碼面,"交易, 持股",ETF
日三大法人速選,台灣,籌碼面,"三大法人, 外資, 自營商, 投信",上市櫃股票
月產銷組合(依項目),台灣,基本面,"財報, 產銷",上市櫃股票
季盈餘機構預估(單季)(預估值),台灣,基本面,"財報, 機構評等",上市櫃股票
特殊功能–日指數彙編表,台灣,籌碼面,交易,指數彙編
選擇權交易基本資料,台灣,基本面,基本資料,選擇權
個股贏家統計,台灣,籌碼面,"券商, 統計數據",上市櫃股票
年IFRS財報總表(保險),台灣,基本面,"財報, 總表, 保險",金融業股票
日股利彙總表,台灣,基本面,股利,上市櫃股票
投信基金週轉率與排行,台灣,籌碼面,交易,投信基金
預測處置股,,,,
日選擇權三大法人盤後買賣權分計,台灣,籌碼面,三大法人,選擇權
日融資券速選,台灣,籌碼面,"交易, 融資券",上市櫃股票
預測注意股,,,,
季IFRS財報總表(金融)–資產負債,台灣,基本面,"財報, 金融, 資產負債",金融業股票
券商進出金額統計表,台灣,籌碼面,券商,上市櫃股票
日選擇權賣買權比率,台灣,籌碼面,交易,選擇權
日常用技術指標表Ⅱ,台灣,技術面,"交易, 指標",上市櫃股票
興櫃個股券商分點進出明細彙總,台灣,籌碼面,券商,興櫃股票
重要國際指數(月),國際,籌碼面,交易,指數
REITs股利政策表,台灣,基本面,股利,REITs
證券市場新聞,台灣,消息面,"公告事件, 新聞",上市櫃股票
日選擇權三大法人行情表,台灣,籌碼面,三大法人,選擇權
季IFRS財報總表(金融)–損益單季,台灣,基本面,"財報, 金融, 損益",金融業股票
台灣景氣指標統計數據,台灣,基本面,"統計數據, 景氣",總經
產業月營收與預估盈餘,台灣,基本面,"財報, 營收, 盈餘",指數彙編
季盈餘公司自結,台灣,基本面,"財報, 自結",上市櫃股票
投信基金合併及清算明細,台灣,基本面,基本資料,投信基金
總公司分點進出明細,台灣,籌碼面,券商,上市櫃股票
年股利速選,台灣,基本面,股利,上市櫃股票
投信公司規模與市佔率,台灣,基本面,基本資料,投信基金
美股個股指數成分股比重(查指數),美國,基本面,交易,上市櫃股票
投信基金投資比例–國外投資,台灣,籌碼面,交易,投信基金
年IFRS財報總表(金融)–損益,台灣,基本面,"財報, 金融, 損益",金融業股票
年IFRS財報總表(金融)–資產負債,台灣,基本面,"財報, 金融, 資產負債",金融業股票
券商公司基本資料表,台灣,籌碼面,券商,上市櫃股票
投信基金類型與規模,台灣,基本面,基本資料,投信基金
季IFRS財報總表(金融)–損益累計,台灣,基本面,"財報, 金融, 損益",金融業股票
日常用技術指標表(非還原),台灣,技術面,"交易, 指標",上市櫃股票
投信基金投資比例,台灣,籌碼面,交易,投信基金
原物料資料表(月),台灣,籌碼面,交易,原物料
